PLOT,yr,plot,lat,long,n_trees,agb
1,2017,1,42.147515000000055,-74.67891400000005,49,0
3,2016,3,41.64130599999999,-74.85530199999995,33,26285.363412000002
5,2015,5,42.100556,-75.839602,0,0
6,2014,6,42.83503599999996,-74.32485799999996,74,23246.807345000005
7,2019,7,44.68789900000001,-74.807912,14,6447.0186570000005
8,2018,8,43.9263,-75.486155,8,0
9,2015,9,43.03013099999999,-76.913955,36,11957.359361000003
10,2018,10,42.736786,-78.38136,0,0
11,2014,11,44.730972000000015,-73.747382,42,16175.218191
12,2017,12,42.43822,-73.580949,0,0
13,2013,13,42.160172000000024,-79.73307100000007,35,11361.015709000001
14,2015,14,42.84362299999999,-73.554264,13,5426.17187
17,2012,17,42.583601,-75.283068,0,0
18,2017,18,42.991077,-76.314216,0,0
22,2017,22,42.282438,-76.05806299999998,15,11253.549901
23,2016,23,42.050778,-76.567825,0,0
25,2013,25,43.976247000000036,-74.31649800000004,47,16799.35903
26,2017,26,43.30032000000001,-74.48491400000007,55,26908.858951000002
28,2013,28,43.177151,-77.180462,0,0
29,2016,29,43.55333300000001,-75.82526599999998,38,23194.483228999998
31,2016,31,44.40042500000003,-73.94127799999993,43,18003.572041
32,2018,32,43.991156,-76.170942,0,0
33,2013,33,42.87809,-75.055446,0,0
36,2015,36,42.435094,-78.51449,0,0
37,2015,37,42.459771999999994,-79.19512499999999,13,6189.559972999999
39,2019,39,42.16778399999999,-78.47804700000005,33,27651.508061
40,2019,40,43.144069,-78.487376,0,0
41,2019,41,42.678962999999975,-74.64694400000005,65,41592.394857
42,2017,42,42.983642,-77.220044,0,0
45,2017,45,42.57114000000001,-76.766154,16,3258.94082
46,2015,46,43.178992,-73.32886699999997,19,13387.616945999998
48,2019,48,43.222215,-78.299006,0,0
49,2019,49,44.369623000000026,-75.02052699999996,30,11644.178845999999
50,2016,50,42.78889399999998,-74.18869799999996,60,19499.012917
55,2018,55,42.290317,-78.789661,4,0
56,2018,56,43.406329000000014,-75.260499,26,23802.348481999998
57,2015,57,44.01154100000002,-74.19548100000004,37,20846.08687
58,2016,58,42.892658,-75.092783,0,0
59,2017,59,42.161862,-73.953981,0,0
60,2015,60,41.306301000000005,-74.05192699999999,32,37625.810937999995
61,2019,61,44.699447,-75.219186,0,0
62,2015,62,42.675694000000014,-78.70607599999995,43,34481.808360999996
63,2013,63,44.006758,-73.90690999999994,81,15338.619842999997
64,2017,64,44.815192999999965,-73.98855000000002,48,15251.399734999999
65,2013,65,43.46193799999997,-73.76051499999996,59,25349.432340999996
67,2019,67,44.58944900000004,-74.657956,37,29072.386261
69,2019,69,42.08164899999998,-75.734584,31,39723.438409
70,2013,70,43.804894000000004,-74.24278200000002,25,6148.050816999999
71,2017,71,42.737853,-78.440626,0,0
72,2016,72,43.089277,-73.905273,4,2244.732727
73,2017,73,43.400145999999964,-74.79362200000007,74,12279.168771999999
74,2016,74,42.37284,-76.152582,0,0
75,2018,75,44.77607800000002,-74.11834600000002,33,21034.924382000005
76,2017,76,44.545380000000016,-74.52125800000002,73,14047.483390999996
77,2017,77,42.722900999999986,-74.29982599999997,19,7429.493845999999
78,2013,78,43.084105,-74.153767,0,0
79,2014,79,43.009476,-75.307763,0,0
80,2016,80,41.373989,-74.468681,0,0
82,2019,82,43.261948,-78.606473,0,0
83,2017,83,42.84962399999998,-73.67557800000002,21,34330.186528
85,2016,85,42.361910999999985,-76.550428,33,24546.003242
86,2013,86,42.90245700000001,-73.575147,25,11463.417970999999
87,2019,87,42.406123,-78.3096,0,0
88,2013,88,40.88585400000004,-72.786868,37,14434.386534999998
90,2018,90,42.85659,-75.110656,0,0
91,2013,91,43.106639,-78.939643,0,0
93,2016,93,42.157459,-76.869597,0,0
94,2018,94,42.560416,-73.488097,0,0
95,2015,95,41.911270999999964,-75.218004,32,21369.380181
96,2016,96,43.066792,-78.274321,0,0
97,2014,97,44.41789200000001,-74.50085799999994,30,3413.4543790000007
98,2014,98,43.276659,-78.531625,0,0
100,2014,100,42.46398799999998,-78.35642999999995,44,9527.572436999999
101,2019,101,42.542476,-77.221318,7,220.859131
102,2013,102,42.269505,-75.088255,0,0
103,2014,103,42.681951999999995,-76.19561500000005,29,7707.220758
104,2015,104,43.136546999999986,-77.34473499999999,16,9203.208136
105,2017,105,43.42132700000001,-75.83138499999998,17,12341.169625999999
106,2015,106,42.828068,-76.775935,0,0
107,2015,107,42.078285999999984,-78.150079,44,21065.669131000002
108,2018,108,44.4355220000001,-74.60529299999989,87,12598.379415
109,2017,109,41.986032,-73.540591,0,0
112,2019,112,42.32806000000003,-79.13097000000002,31,16459.340724
113,2013,113,44.90569200000002,-74.60870299999999,46,11857.274495
116,2014,116,44.23900099999997,-74.97134199999995,45,16357.272711000003
118,2014,118,42.43128299999996,-78.64129899999993,44,27607.538160999997
119,2014,119,42.28115699999997,-79.23662,36,0
120,2018,120,42.54034,-76.366375,0,0
121,2013,121,40.96465899999999,-72.74666299999998,19,3752.725387
